"AddressID","AddressLine1","AddressLine2","City","StateProvince","CountryRegion","PostalCode","rowguid","ModifiedDate"
"459","25575 The Queensway","","Etobicoke","Ontario","Canada","M9W 3P3","616235EA-DC36-4C39-BF91-FFE12BB676E0","2005-08-01 00:00:00"
"460","2521 McPherson Street","","Markham","Ontario","Canada","L3S 3K2","7D6F03AC-5D55-422E-850E-B8743FAC81B2","2007-08-01 00:00:00"
"461","2560 Bay Street","","Toronto","Ontario","Canada","M4B 1V7","726819A8-1B02-4EFD-AEB9-3FD801D9F153","2006-08-01 00:00:00"
"462","630 University Avenue","","Toronto","Ontario","Canada","M4B 1V7","27D5BDAD-647D-4A56-859A-BC6A82AF7DCD","2005-08-01 00:00:00"
"463","992 St Clair Ave East","","Toronto","Ontario","Canada","M4B 1V7","D6ED51FA-6DD1-460C-99E0-64BA90F035AE","2005-09-01 00:00:00"
"464","99, Rue Saint-pierre","","Pnot-Rouge","Quebec","Canada","J1E 2T7","C4A1EE36-8149-46B7-A313-A63010987A8E","2005-07-01 00:00:00"
"465","25245 Rue Sherbrooke Ouest","","Montreal","Quebec","Canada","H1Y 2H5","10EE8C14-2792-4F02-B83D-92511D20470F","2007-07-01 00:00:00"
"466","655-4th Ave S.W.","","Calgary","Alberta","Canada","T2P 2G8","09C5F0BA-7128-4455-832D-0DF587248A5A","2005-08-01 00:00:00"
"467","25900-700-9th Ave S.W.","","Calgary","Alberta","Canada","T2P 2G8","13560188-CE4A-470D-9913-49903047D459","2005-11-01 00:00:00"
"468","Po Box 83270","","Vancouver","British Columbia","Canada","V7L 4J4","C00A5DFF-B134-4900-9561-E67EEB425F9F","2007-08-01 00:00:00"
"469","400-25155 West Pender St","","Vancouver","British Columbia","Canada","V7L 4J4","B81768F9-3B05-43DC-8DDE-85FFCA00D4DE","2007-09-01 00:00:00"
"470","2511 Baker Road","","Toronto","Ontario","Canada","M4B 1V7","6E934D97-69B9-4FCF-9E4E-56BF94E52986","2005-09-01 00:00:00"
"471","770 Notre Datme Quest Bureau 800","","Montreal","Quebec","Canada","H1Y 2H7","5EDA011D-31D1-4DFB-A78C-397B6335F85B","2005-09-01 00:00:00"
"472","250551 Shellbridge Way","","Richmond","British Columbia","Canada","V6B 3P7","1A6A1A7B-E208-473D-A8F4-14A89D06FAD2","2005-09-01 00:00:00"
"473","595 Burning Street","","Vancouver","British Columbia","Canada","V7L 4J4","0EC83A85-137E-4CF3-B13D-3926277698B2","2005-09-01 00:00:00"
"474","252345 8810th Avenue","","Surrey","British Columbia","Canada","V3T 4W3","447CA097-077D-4980-A431-8FAFAD156CED","2005-09-01 00:00:00"
"475","2512-410th Avenue S.W.","","Calgary","Alberta","Canada","T2P 2G8","EC6C99B9-61E2-4400-8180-208F5A6C7EFF","2007-09-01 00:00:00"
"476","258 King Street East","","Toronto","Ontario","Canada","M4B 1V7","90C770A5-A474-43D1-9A67-0F5DE336F9DC","2005-08-01 00:00:00"
"477","6th Floor Ferguson Block","","Toronto","Ontario","Canada","M4B 1V7","39F3B067-2263-4591-ABF9-D5210DA4F783","2005-08-01 00:00:00"
"478","2545 King Street West","","Toronto","Ontario","Canada","M4B 1V7","2817A0B7-8985-4527-BB7B-B75F55F4D8DE","2005-08-01 00:00:00"
"479","2550 Middlefield Road","","Scarborough","Ontario","Canada","M1V 4M2","E60801BF-CFB3-4606-A738-8AA0EB587AFB","2005-08-01 00:00:00"
"480","25 First Canadian Place","","Toronto","Ontario","Canada","M4B 1V5","07A009B2-1421-4597-AB85-22BCE3C82B2C","2005-08-01 00:00:00"
"481","65 Gamelin Street","","Hull","Quebec","Canada","8Y","F35E73BA-678F-4A0F-80BC-6385A7A6CB24","2006-08-01 00:00:00"
"482","2500 University Avenue","","Toronto","Ontario","Canada","M4B 1V5","197A1735-E89E-4F15-A5F7-FEB98B369094","2005-07-01 00:00:00"
"483","955 Green Valley Crescent","","Ottawa","Ontario","Canada","K4B 1S1","C6B743C3-F830-43E4-BA58-DD36FC451D14","2007-09-01 00:00:00"
"484","2510 Crew Court","","Montreal","Quebec","Canada","H1Y 2H8","1F41EDC1-7144-4D6B-9CBD-4318C2358FA1","2008-06-01 00:00:00"
"485","9900-6400 Boul, Taschereau","","Brossard","Quebec","Canada","J4Z 1R4","7C46D2FC-E31E-402F-A093-4CF18F7F6E54","2006-07-01 00:00:00"
"486","600 Boul. Rene-levesque Ouest","","Montreal","Quebec","Canada","H1Y 2H7","112049E4-64D5-4305-9545-933E89B74F6E","2006-07-01 00:00:00"
"487","9259 - 1110th Avenue Sw","","Calgary","Alberta","Canada","T2P 2G8","275AC976-0D23-4D97-9F58-BB186D1CC089","2006-09-01 00:00:00"
"488","45259 Canada Way","","Burnaby","British Columbia","Canada","V5G 4S4","6D2D6846-3F17-474E-8D31-AD3A59C0CEB0","2007-08-01 00:00:00"
"489","9960 King Street E.","","Toronto","Ontario","Canada","M4B 1V5","EB632E56-4299-4714-9E91-224319BDCB62","2007-08-01 00:00:00"
"490","9979 Bayview Drive","","Barrie","Ontario","Canada","L4N","85D72A98-F631-457C-8FFF-04FAEC508F5D","2006-08-01 00:00:00"
"491","20225 Lansing Ave","","Montreal","Quebec","Canada","H1Y 2H7","A9B5A261-2463-4489-9951-EACFA29A8231","2007-09-01 00:00:00"
"492","99954 Boul. Laurier, Local 060, Place","","Sainte-Foy","Quebec","Canada","G1W","541CDE7C-3F3A-435F-A7B5-F30055DFBC68","2007-09-01 00:00:00"
"493","6th Floor 5250 Main Street","","Winnipeg","Manitoba","Canada","R3","AC0E73D8-FF0A-42BD-8502-E19EBAC7343F","2007-09-01 00:00:00"
"494","Box 99354 300 Union Street","","Saint John","Brunswick","Canada","E2P 1E3","21FF77A8-39DC-44D8-917C-FDD645DBF9EB","2006-07-01 00:00:00"
"495","Suite 800 2530 Slater Street","","Ottawa","Ontario","Canada","K4B 1T7","C6633AD5-006D-4967-B97E-7919DD48A700","2006-09-01 00:00:00"
"496","Suite 500 995 W. 11th Avenue","","Mississauga","Ontario","Canada","L5A 1H6","496C1AD3-2925-4322-8811-890AB6107F67","2007-08-01 00:00:00"
"497","#9900 2700 Production Way","","Burnaby","British Columbia","Canada","V5A 4X1","AA651B28-0A51-4084-8444-A70CC71BCE65","2005-08-01 00:00:00"
"498","25537 Hillside Avenue","","Victoria","British Columbia","Canada","V8V","385C24E0-E20C-40C9-BAC9-95D70D5B6900","2005-08-01 00:00:00"
"499","Suite 2502 410 Albert Street","","Waterloo","Ontario","Canada","N2V","44099B0E-03F3-447C-83BF-BE4BAA010A83","2006-08-01 00:00:00"
"500","5700 Explorer Drive","","Mississauga","Ontario","Canada","L4W 5J3","F6FED7FA-39D9-4A60-A1F5-1622489E55FD","2005-08-01 00:00:00"
"501","965 De La Gauchetiere West","","Montreal","Quebec","Canada","H1Y 2H8","ACB9C033-18C6-4F02-975E-9C5226B96B72","2005-08-01 00:00:00"
"502","No. 25400 10665 Jasper Avenue","","Edmonton","Alberta","Canada","T5","51180CA2-6614-46A5-B89C-EF7B0421C847","2006-08-01 00:00:00"
"503","P.O. Box 44000","","Winnipeg","Manitoba","Canada","R3","C4F3E274-13E1-4A99-8FD3-2C7D3D1EE5A1","2005-08-01 00:00:00"
"504","Suite 99320 255 - 510th Avenue S.W.","","Calgary","Alberta","Canada","T2P 2G8","CFF7437F-6830-4797-875B-D9A54EA38975","2005-08-01 00:00:00"
"505","6400, 888 - 3rd Avenue","","Calgary","Alberta","Canada","T2P 2G8","A6EFF2B6-3B11-47EF-AB7E-701E5041C71C","2005-08-01 00:00:00"
"506","255117 - 101 Avenue","","Surrey","British Columbia","Canada","V3T 4W3","22895B47-6086-4550-B437-A75DBEDFE1D9","2005-08-01 00:00:00"
"507","975 Princess Street","","Kingston","Ontario","Canada","7L","D7849F5F-C042-4FCE-8F6B-BA5CD8708E10","2007-09-01 00:00:00"
"508","2900 - 25055 Dunning Street","","Vancouver","British Columbia","Canada","V7L 4J4","4EE0334F-027C-4036-880F-6E9104E21533","2006-12-01 00:00:00"
"509","Suite 25800 3401 - 10810th Avenue","","Surrey","British Columbia","Canada","V3T 4W3","28C52717-7117-41B6-A5C7-FDA60D566163","2005-08-01 00:00:00"
"510","750 Philip Street","","Waterloo","Ontario","Canada","N2V","F2B96299-187A-4E52-96DE-FE9D1C8AB33F","2005-11-01 00:00:00"
"511","Bureau 9900 825, Avenue Querbes","","Outremont","Quebec","Canada","H1Y 2G5","EF10CF20-A540-4D5C-BEFD-1B48B7D48402","2006-12-01 00:00:00"
"512","700 Bureau Road","","Montreal","Quebec","Canada","H1Y 2H7","963F514B-7752-46E8-9742-1FD40A68EA33","2007-09-01 00:00:00"
"513","253711 Mayfield Place, Unit 150","","Richmond","British Columbia","Canada","V6B 3P7","C418C2F4-6B32-4404-AAB1-E0BEC3958C11","2007-09-01 00:00:00"
"514","63 West Beaver Creek","","Richmond Hill","Ontario","Canada","L4E 3M5","AD60DBA9-3B01-47E9-BB5E-DF94D0579F14","2006-09-01 00:00:00"
"515","9900 Ronson Drive","","Etobicoke","Ontario","Canada","M9W 3P3","42242712-6DD2-423F-9B89-C953454E3B09","2006-07-01 00:00:00"
"516","251 Indell Lane","","Brampton","Ontario","Canada","L6W 2T7","A1F36994-B5B3-4646-87EA-692A513395EA","2006-08-01 00:00:00"
"517","2573 Dufferin Street","","Toronto","Ontario","Canada","M4B 1V5","97605C5C-8309-44F2-9A98-C5A5709497FF","2005-07-01 00:00:00"
"518","995 Crescent","","Richmond Hill","Ontario","Canada","L4E 3M5","0B49022D-8B49-4CF6-B0A3-46231CD48441","2007-09-01 00:00:00"
"519","2500-622 5th Ave Sw","","Calgary","Alberta","Canada","T2P 2G8","13754965-6A09-4343-968C-8699C27FDFAA","2006-08-01 00:00:00"
"520","6700 Boul Taschereau","","Brossard","Quebec","Canada","J4Z 1C5","B730EAFF-5828-4C8C-86C1-9137F50FCA48","2005-09-01 00:00:00"
"521","55 Standish Court","","Mississauga","Ontario","Canada","L5B 3V4","97C329E2-FA67-4478-AA7B-78A8DEECF7CA","2006-09-01 00:00:00"
"522","43251 Viking Way, Unit 130","","Richmond","British Columbia","Canada","V6B 3P7","842BCBE5-9DA5-42D5-A4BB-4197DB5B69C7","2007-02-01 00:00:00"
"523","46990 Viking Way","","Richmond","British Columbia","Canada","V6B 3P7","85C88CD6-682C-4358-9F8C-5A24F4CCFD98","2005-08-01 00:00:00"
"524","9693 Louis H Lafontaine","","Ville De'anjou","Quebec","Canada","J1G 2R3","ACC21BD9-FB1B-4764-941B-2FB98AA4EB27","2006-08-01 00:00:00"
"525","69251 Creditview Road","","Mississauga","Ontario","Canada","L5B 3V4","2CA11975-213A-46FB-A0BE-2529003074CC","2005-07-01 00:00:00"
"526","251420a 170th Street","","Edmonton","Alberta","Canada","T5","476D80AE-69A0-480D-9DF3-8FD0C1095A21","2006-07-01 00:00:00"
"527","252851 Rowan Place","","Richmond","British Columbia","Canada","V6B 3P7","11EAEE50-8A14-4B81-951E-86701B6F60C0","2006-09-01 00:00:00"
"528","5990 Avebury Road","","Mississauga","Ontario","Canada","L5B 3V4","D9928CCC-FC35-435A-8A0F-6887813E0E06","2005-09-01 00:00:00"
"529","254480 River Rd","","Richmond","British Columbia","Canada","V6B 3P7","034076FD-CD0E-4EAD-864E-8CE7F47D6612","2005-07-01 00:00:00"
"530","Suite #9902","","North York","Ontario","Canada","M4C 4K6","FE36E0C8-AD8A-4D2C-BC53-5D69BE5A9CE7","2005-07-01 00:00:00"
"531","5th Floor, 79 Place D'armes","","Kingston","Ontario","Canada","7L","F6FB5F79-C5FA-4A7C-8D75-6E9243360308","2006-11-01 00:00:00"
"532","#500-75 O'Connor Street","","Ottawa","Ontario","Canada","K4B 1S2","1B58B9BC-A691-4927-BF17-569E4BE822F3","2005-12-01 00:00:00"
"533","4400 March Road","","Kanata","Ontario","Canada","K2L 1H5","43484CD9-AD5B-41F4-A9CC-DDFBAC4B5AA5","2005-11-01 00:00:00"
"534","Depot 80","","Sillery","Quebec","Canada","G1T","3178440D-5C3A-48F2-AF6B-0A607774E265","2005-08-01 00:00:00"
"535","250 Kingsbridge Garden Circle","","Mississauga","Ontario","Canada","L5B 3V4","9771494E-9053-40F2-84A5-E0D108DEEFED","2005-11-01 00:00:00"
"536","No. 2000-25080 Beaver Hall Hill","","Quebec","Quebec","Canada","G1R","0C38C439-4562-4E37-8F23-AFF2C9005C38","2006-09-01 00:00:00"
"537","No. 25800-130 King Street West","","Toronto","Ontario","Canada","M4B 1V5","C2BCDAEC-366C-489C-BF43-8CC2881179F3","2005-09-01 00:00:00"
